Row Labels,Sum of Quantity
16,44
17,43
18,51
19,17
8/11/2021,1181
7,27
8,173
9,260
10,144
11,136
12,182
13,25
16,71
17,65
18,80
19,18
8/12/2021,1280
7,70
8,171
9,209
10,256
11,217
12,126
13,27
16,51
17,63
18,62
19,28
8/13/2021,1028
7,58
8,160
9,181
10,171
11,161
12,115
13,38
16,31
17,40
18,55
19,18
8/14/2021,1350
7,86
8,245
9,285
10,214
11,197
12,131
13,27
15,1
16,31
17,52
18,74
19,7
8/15/2021,1725
7,57
8,338
9,352
10,453
11,312
12,198
13,15
8/16/2021,1160
7,49
8,147
9,144
10,212
11,190
12,167
13,24
16,16
17,62
18,99
19,50
8/17/2021,917
7,36
8,164
9,126
10,144
11,137
12,128
13,25
15,6
16,46
17,39
18,38
19,28
8/18/2021,1090
7,62
8,192
9,118
10,190
11,179
12,145
13,29
16,29
17,69
18,61
19,16
8/19/2021,1047
7,42
8,144
9,153
10,164
11,210
12,149
13,24
16,51
17,45
18,46
19,19
8/20/2021,885
7,35
8,119
9,110
10,163
11,172
12,111
13,28
16,29
17,47
18,53
19,18
8/21/2021,1255
7,47
8,175
9,224
10,188
11,267
12,161
13,33
16,59
17,53
18,34
19,14
8/22/2021,1365
7,68
8,297
9,264
10,246
11,275
12,200
13,15
8/23/2021,916
7,53
8,76
9,182
10,156
11,154
12,133
13,12
16,45
17,25
18,70
19,10
8/24/2021,911
7,36
8,163
9,123
10,153
11,132
12,137
13,29
16,34
17,51
18,43
19,10
8/25/2021,801
7,25
8,92
9,83
10,125
11,171
12,126
13,28
15,2
16,33
17,41
18,53
19,22
8/26/2021,960
7,46
8,142
9,167
10,168
11,143
12,128
13,13
15,2
16,23
17,56
18,40
19,32
8/27/2021,737
7,55
8,75
9,94
10,141
11,108
12,109
13,36
16,23
17,48
18,44
19,4
8/28/2021,965
7,52
8,148
9,137
10,120
11,183
12,165
13,22
16,34
17,52
18,48
19,4
8/29/2021,1174
7,69
8,179
9,240
10,231
11,294
12,142
13,19
8/30/2021,673
7,19
8,94
9,68
10,167
11,114
12,91
13,13
16,26
17,32
18,45
19,4
8/31/2021,557
7,16
8,116
9,71
10,96
11,94
12,57
13,13
16,25
17,27
18,28
19,14
9/1/2021,479
7,2
8,61
9,87
10,65
11,102
12,75
13,4
16,18
17,31
18,27
19,7
9/2/2021,501
7,21
8,73
9,97
10,80
11,90
12,80
13,13
16,7
17,12
18,22
19,6
9/3/2021,579
7,19
8,74
9,61
10,105
11,113
12,86
13,9
16,29
17,30
18,29
19,24
9/4/2021,796
7,17
8,147
9,180
10,144
11,157
12,85
13,17
16,17
17,9
18,19
19,4
9/5/2021,953
7,44
8,156
9,211
10,218
11,203
12,121
9/6/2021,482
7,18
8,92
9,70
10,73
11,88
12,44
13,16
15,2
16,17
17,28
18,34
9/7/2021,493
7,18
8,100
9,69
10,64
11,69
12,53
13,14
16,22
17,40
18,44
9/8/2021,478
7,25
8,47
9,40
10,79
11,88
12,85
13,15
16,12
17,34
18,50
19,3
9/9/2021,484
7,11
8,61
9,104
10,79
11,86
12,75
16,10
17,31
18,27
9/10/2021,472
7,24
8,25
9,74
10,57
11,122
12,71
13,13
16,27
17,34
18,25
9/11/2021,697
7,15
8,121
9,124
10,130
11,96
12,107
13,21
16,18
17,31
18,30
19,4
9/12/2021,938
7,8
8,193
9,234
10,209
11,184
12,109
13,1
9/13/2021,500
7,16
8,61
9,49
10,90
11,94
12,91
13,18
15,1
16,22
17,37
18,17
19,4
9/14/2021,387
7,10
8,54
9,52
10,66
11,57
12,63
13,9
16,17
17,18
18,41
